name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank
NW Bracken,AUS,23.05,19.8,6.97,19.737,1,0,1,23.053,26.776,Good
GJ Delany,IRE,27.68,21.7,7.62,16.56,0.76,0,0.76,21.04,35.154,Good
MG Erasmus,NAM,15.52,17.1,5.44,17.084,1,0,1,15.526,14.071,Good
H Fennell,Arg,10.31,9.7,6.35,16.636,1.727,0.182,1,17.818,10.911,Good
DJ Hussey,AUS,20.63,19,6.51,14.424,0.76,0,0.76,15.68,22.384,Good
ST Jayasuriya,SL,24,19.5,7.37,15.375,0.792,0,0.792,19,29.48,Good
OC McCoy,WI,16.84,13.2,7.61,21,1.583,0.167,1.1,26.667,21.359,Good
A Nathwani,Aut,13.57,14.2,5.73,19.286,1.357,0,1.357,18.429,12.959,Good
SA Okpe,NGA,9.94,11.4,5.2,15.514,1.357,0,1.357,13.5,8.615,Good
JDP Oram,NZ,41.73,28.7,8.71,17.062,0.594,0,0.594,24.781,60.578,Average
JA Richardson,AUS,29.26,20.8,8.42,22,1.056,0,1.056,30.889,41.062,Average
Sahir Naqash,GER,17,14.5,7.02,15.333,1.056,0,1.056,17.944,19.89,Good
Shoaib Akhtar,PAK,22.73,16.7,8.15,21.2,1.267,0,1.267,28.8,30.875,Good
BA Stokes,ENG,37.73,25.7,8.77,17.443,0.679,0,0.679,25.607,55.149,Average
Syazrul Idrus,MAL,18.57,14.2,7.84,20.769,1.462,0,1.462,27.154,24.265,Good
Tanwir Afzal,HKG,26.78,22.4,7.16,20.286,0.905,0,0.905,24.238,31.957,Good
JM Anderson,ENG,30.66,23.4,7.84,22.168,0.947,0,0.947,29.053,40.062,Average
SJ Benn,WI,33.66,28,7.21,21,0.75,0.042,0.609,25.25,40.448,Average
PW Borren,NED,33.5,29.2,6.87,17.48,0.6,0,0.6,20.1,38.358,Good
CRD Fernando,SL,25.77,21,7.36,21,1,0,1,25.778,31.611,Good
HMRKB Herath,SL,20.72,20.2,6.13,21.353,1.059,0.059,0.812,21.941,21.169,Good
Mohammed Shami,INDIA,31.55,19.8,9.54,20.929,1.059,0,1.059,33.412,50.164,Average
Naveed Ahmed,CZK-R,20.66,16.3,7.59,16.333,1,0,1,20.667,26.135,Good
Naveen-ul-Haq,AFG,18.33,14.3,7.67,19.846,1.385,0,1.385,25.385,23.432,Good
Nouman Sarwar,QAT,14.83,11.6,7.66,15.923,1.385,0.077,1.167,20.538,18.933,Good
K Santokie,WI,15.44,13.6,6.8,20.25,1.5,0.083,1.273,23.167,17.499,Good
SB Styris,NZ,19.38,17.1,6.77,14.657,0.857,0,0.857,16.619,21.867,Good
Tamoor Sajjad,QAT,22.11,19.3,6.84,21.788,1.125,0,1.125,24.875,25.205,Good
Taranjeet Singh,ROM,16.61,14.6,6.79,18.857,1.286,0.071,1.077,21.357,18.797,Good
SR Thompson,IRE,37.22,26.3,8.48,15.8,0.6,0.033,0.483,22.333,52.604,Average
LL Tsotsobe,SA,30.05,26,6.93,20.348,0.783,0,0.783,23.522,34.708,Good
LJ Wright,ENG,25.83,18.3,8.45,14.348,0.783,0,0.783,20.217,36.377,Good
Abdullah Akbarjan,Aut,16.7,16.7,6,20.229,1.214,0,1.214,20.286,16.7,Good
Ashiqullah Said,Belg,14.76,15.5,5.7,22,1.417,0,1.417,20.917,14.022,Good
Bilal Hassun,UGA,13.29,11.7,6.81,19.86,1.7,0.1,1.444,22.6,15.084,Good
AB Dinda,INDIA,14.41,10.5,8.16,20,1.889,0.111,1.625,27.222,19.598,Good
Ibrahim Hassan,Mald,26.7,19.7,8.1,18.667,0.944,0.056,0.706,25.222,36.045,Good
Janak Prakash,SGP,21.29,17.5,7.28,19.76,1.133,0,1.133,24.133,25.832,Good
Z Khan,INDIA,26.35,20.7,7.63,20.612,1,0.059,0.812,26.353,33.508,Good
CK Langeveldt,SA,14.17,11.6,7.3,22,1.889,0.111,1.625,26.778,17.24,Good
LC Le Tissier,GUE,15.94,15.5,6.15,20.308,1.308,0,1.308,20.846,16.338,Good
R McLaren,SA,19.52,15.4,7.57,21.75,1.417,0.083,1.091,27.667,24.628,Good
Mohammad Hasnain,PAK,30.7,23.2,7.9,23.294,1,0,1,30.706,40.422,Average
Mohammad Wasim,Den,15.88,11.7,8.1,18.109,1.545,0.091,1.3,24.545,21.438,Good
R Ngarava,ZIM,32.29,23.8,8.11,22.467,0.944,0,0.944,30.5,43.645,Average
HV Patel,INDIA,19.52,13.8,8.47,21.327,1.545,0.091,1.3,30.182,27.556,Good
Shahil Momin,Aut,12.35,12.5,5.91,23.533,1.889,0.222,1.286,23.333,12.165,Good
SPD Smith,AUS,22.17,17.1,7.77,17.047,1,0,1,22.176,28.71,Good
RJ Trott,BMUDA,22.82,21,6.52,18.726,0.895,0.053,0.722,20.421,24.798,Good
P Useni,NGA,18.29,17.2,6.36,18.188,1.062,0,1.062,19.438,19.387,Good
SA Ahmad,DEN,10.87,14.2,4.57,19,1.333,0,1.333,14.5,8.279,Good
Anwar Rahman,MAL,15.81,16,5.92,18.171,1.143,0.071,0.923,18.071,15.599,Good
Aqib Iqbal,Aut,22.18,22.1,6.01,22.125,1,0.062,0.733,22.188,22.217,Good
DA Blignaut,GER,16.25,14.5,6.72,14.4,1,0.062,0.8,16.25,18.2,Good
RS Bopara,ENG,24.18,20.1,7.21,15.257,0.762,0.048,0.6,18.429,29.056,Good
E Chigumbura,ZIM,26.68,17.2,9.28,13.143,0.762,0.048,0.6,20.333,41.265,Average
PD Collingwood,ENG,21.68,14.6,8.89,11.7,0.8,0.05,0.632,17.35,32.123,Good
SM Curran,ENG,22.81,17.2,7.93,17.25,1,0,1,22.812,30.147,Good
GD Drummond,SCOT,23.81,20.6,6.92,19.412,0.941,0,0.941,22.412,27.461,Good
SC Getkate,IRE,28.93,20.6,8.41,15.714,0.762,0,0.762,22.048,40.55,Average
K Irakoze,RWN,15.25,14.8,6.17,21.436,1.455,0.091,1.2,22.182,15.682,Good
SC Kuggeleijn,NZ,29.43,20.1,8.74,18.882,0.941,0,0.941,27.706,42.87,Average
Mohammad Irfan,PAK,35.12,28.3,7.44,20.536,0.727,0,0.727,25.545,43.549,Average
IO Okpe,NGA,28.12,22.8,7.39,18.15,0.8,0,0.8,22.5,34.634,Good
JS Patel,NZ,16.81,12.4,8.11,19.86,1.6,0,1.6,26.9,22.722,Good
NK Patel,USA,12.93,15,5.17,20,1.333,0.083,1.091,17.25,11.141,Good
V Saini,ROM,25.93,22.5,6.91,20,0.889,0.056,0.706,23.056,29.863,Good
M Theekshana,SL,27.37,25.5,6.44,22.667,0.889,0,0.889,24.333,29.377,Good
DT Tiripano,ZIM,38.56,26,8.87,18.078,0.696,0,0.696,26.826,57.005,Average
Yasir Arafat,PAK,19.75,14.7,8.03,18.092,1.231,0,1.231,24.308,26.432,Good
Abdul Wahid,Saudi,16.93,15.2,6.68,19,1.25,0.083,1,21.167,18.849,Good
Aftab Hussain,HKG,15,13.6,6.61,22.667,1.667,0,1.667,25,16.525,Good
RG Aga,KENYA,20.4,19.2,6.37,15.158,0.789,0,0.789,16.105,21.658,Good
KS Airee,NEPAL,14.8,13.6,6.49,20.46,1.5,0,1.5,22.2,16.009,Good
C Campher,IRE,22,16.4,8.01,20.55,1.25,0.167,0.7,27.5,29.37,Good
PKD Chase,IRE,27.73,16.7,9.94,20.75,1.25,0.083,1,34.667,45.939,Average
N Pradeep,SL,29.06,18.5,9.41,17.325,0.938,0.062,0.733,27.25,45.576,Average
P Florin,ROM,12.13,9.4,7.74,9.986,1.071,0,1.071,13,15.648,Good
V Ganesan,GER,26.6,29.2,5.46,16.222,0.556,0,0.556,14.778,24.206,Good
AJ Hosein,WI,28.2,23.6,7.16,20.824,0.882,0.059,0.688,24.882,33.652,Good
Imran Anwar,BHR,27.53,23,7.18,20.224,0.882,0,0.882,24.294,32.944,Good
Junaid Aziz,BHR,9.6,7.6,7.57,12.667,1.667,0.111,1.25,16,12.112,Good
Kaleemullah,OMA,25.73,22.8,6.75,19.033,0.833,0,0.833,21.444,28.946,Good
KS Leverock,BMUDA,22,17,7.73,19.569,1.154,0.077,0.917,25.385,28.343,Good
GF Linde,SA,22.66,19.2,7.08,20.571,1.071,0,1.071,24.286,26.739,Good
MR Marsh,AUS,22.26,17.2,7.76,11.727,0.682,0,0.682,15.182,28.79,Good
A Nanda,LUX,13.06,12.1,6.46,20.133,1.667,0.111,1.25,21.778,14.061,Good
BA Pai,GIBR,20.2,19.6,6.18,21,1.071,0,1.071,21.643,20.806,Good
KH Pandya,INDIA,36.93,27.3,8.1,21.537,0.789,0.053,0.611,29.158,49.856,Average
AR Patel,INDIA,29.46,24.8,7.12,20.667,0.833,0,0.833,24.556,34.959,Good
SM Pollock,SA,20.6,16.2,7.62,21.982,1.364,0,1.364,28.091,26.162,Good
MJG Rippon,NED,20.66,20.2,6.11,17.788,0.882,0,0.882,18.235,21.039,Good
Sami Ullah,ROM,13,11.2,6.96,18.667,1.667,0,1.667,21.667,15.08,Good
RP Singh,INDIA,15,13.2,6.81,22,1.667,0.111,1.375,25,17.025,Good
CR Woakes,ENG,28.46,21.8,7.83,20.362,0.938,0,0.938,26.688,37.14,Good
CJ Anderson,NZ,35.35,25.7,8.25,17.143,0.667,0,0.667,23.571,48.606,Average
JC Archer,ENG,26.5,20.1,7.89,23.5,1.167,0.083,0.909,30.917,34.848,Good
SKA Awiah,Ghana,12.78,10.7,7.16,16.667,1.556,0.111,1.125,19.889,15.251,Good
Bashir Shah,DEN,12.28,13.7,5.37,21.333,1.556,0,1.556,19.111,10.991,Good
Bilal Zalmai,Aut,9.78,11.1,5.26,22.286,2,0.143,1.667,19.571,8.574,Good
HL Carlyon,JER,13.35,15.8,5.05,18.5,1.167,0,1.167,15.583,11.236,Good
CJ Chibhabha,ZIM,32.5,23,8.45,14.591,0.636,0,0.636,20.682,45.771,Average
WJ Cope,LUX,22.42,18.4,7.3,18.429,1,0.071,0.769,22.429,27.278,Good
Delawar Khan,DEN,20.57,18.5,6.67,17.24,0.933,0,0.933,19.2,22.867,Good
AC Douglas,BMUDA,10.14,9.5,6.35,19.029,2,0.143,1.5,20.286,10.731,Good
GD Elliott,NZ,16.78,13.7,7.34,12.8,0.933,0.067,0.714,15.667,20.528,Good
BC Fortuin,SA,19.28,17.5,6.58,18.923,1.077,0,1.077,20.769,21.144,Good
AW Hawkins-Kay,JER,19,15.4,7.38,14.4,0.933,0.067,0.714,17.733,23.37,Good
Junaid Siddiqui,CAN,24.64,27.5,5.37,19.23,0.7,0,0.7,17.25,22.053,Good
Karim Sadiq,AFG,34.42,30,6.88,15,0.5,0,0.5,17.214,39.468,Good
D Klein,GER,21.78,20.7,6.31,22.246,1.077,0,1.077,23.462,22.905,Good
Mirwais Ashraf,AFG,31.71,28,6.79,17.782,0.636,0,0.636,20.182,35.885,Good
KV Morea,PNG,16.71,12,8.35,21,1.75,0.25,1,29.25,23.255,Good
GBW Munaweera,QAT,25.21,21,7.2,18.375,0.875,0,0.875,22.062,30.252,Good
O Harvey,Ghana,14.5,16.2,5.34,20.727,1.273,0,1.273,18.455,12.905,Good
Raza Iqbal,NOR,16.07,18.4,5.23,21.5,1.167,0,1.167,18.75,14.008,Good
Saber Zakhil,Belg,20.5,19.4,6.33,19.371,1,0,1,20.5,21.628,Good
Salman Nazar,CAN,10.85,11.1,5.84,22.286,2,0,2,21.714,10.561,Good
R Satheesan,ROM,16.5,14.7,6.69,13.72,0.933,0,0.933,15.4,18.398,Good
G Sesay,SLE,10.21,10.5,5.83,16.2,1.556,0.111,1.25,15.889,9.921,Good
B Shikongo,NAM,19.42,19.2,6.04,15,0.778,0,0.778,15.111,19.549,Good
MR Swart,NED,25.07,22.7,6.62,15.9,0.7,0,0.7,17.55,27.661,Good
P Taylor,CZK-R,18.35,13.7,8.03,19.2,1.4,0.1,1.111,25.7,24.558,Good
KK Ahmed,INDIA,35.3,24,8.82,22.286,0.929,0,0.929,32.786,51.891,Average
Ashwin Vinod,SUI,10.92,10.6,6.17,23,2.167,0,2.167,23.667,11.229,Good
KS Bagabena,Ghana,21.15,16.6,7.6,14.44,0.867,0.067,0.571,18.333,26.79,Good
DT Christian,AUS,30.61,21.4,8.55,13.229,0.619,0,0.619,18.952,43.619,Average
SR Clark,AUS,18.23,16.6,6.58,24,1.444,0.111,1.125,26.333,19.992,Good
CJ Dala,SA,23.61,14.7,9.59,19.2,1.3,0,1.3,30.7,37.737,Good
DR Hooper,GUE,32.76,26,7.56,21.075,0.812,0,0.812,26.625,41.278,Average
JK Kamande,KENYA,16.3,15.8,6.17,20.52,1.3,0,1.3,21.2,16.762,Good
Khizar Hayat,MAL,23,18,7.66,21.273,1.182,0.091,0.8,27.182,29.363,Good
HV Mandhyan,HUN,28.15,22.1,7.62,24,1.083,0,1.083,30.5,35.75,Good
A Mansale,VAN,13.53,12,6.76,15.6,1.3,0,1.3,17.6,15.244,Good
Mohammad Asif,PAK,26.38,19.7,8,23.182,1.182,0.091,0.9,31.182,35.173,Good
Mohamed Mahfooz,Mald,26.15,22.5,6.96,19.4,0.867,0,0.867,22.667,30.334,Good
Mohammad Shahzad,UAE,31.61,22.2,8.53,15.189,0.684,0,0.684,21.632,44.939,Average
M Mooketsi,BOT,21.76,18.9,6.9,22.364,1.182,0,1.182,25.727,25.024,Good
Muhammad Wafiq,MAL,25.3,19.2,7.89,22.582,1.182,0,1.182,29.909,33.27,Good
M Muralidaran,SL,22.84,21.6,6.31,23.5,1.083,0,1.083,24.75,24.02,Good
TJ Murtagh,IRE,24.92,20.6,7.25,19.029,0.929,0,0.929,23.143,30.112,Good
GH O'Brien,BMUDA,17.84,17.7,6.02,20.891,1.182,0,1.182,21.091,17.899,Good
YK Pathan,INDIA,33.69,23.4,8.61,17.824,0.765,0,0.765,25.765,48.345,Average
RW Price,ZIM,29.07,28.3,6.14,22.987,0.812,0,0.812,23.625,29.748,Good
SK Raina,INDIA,34,26.8,7.59,12.911,0.481,0,0.481,16.37,43.01,Average
Raja Adeel,ESP,13.46,18.4,4.37,20,1.083,0,1.083,14.583,9.803,Good
DMW Rawlins,BMUDA,32.38,27.6,7.01,21.176,0.765,0,0.765,24.765,37.831,Good
NA Saini,INDIA,18.07,15.1,7.15,21.667,1.444,0,1.444,26.111,21.533,Good
S Snater,NED,25.92,16,9.67,17.25,1.083,0,1.083,28.083,41.774,Average
MP Stoinis,AUS,35.15,25.5,8.25,14.4,0.565,0,0.565,19.87,48.331,Average
JTS Sumerauer,JER,20.23,16.9,7.17,14.56,0.867,0,0.867,17.533,24.175,Good
RN ten Doeschate,NED,18.84,16.1,7,21,1.3,0,1.3,24.5,21.98,Good
Usman Shinwari,PAK,32.61,23.5,8.31,19.125,0.812,0,0.812,26.5,45.165,Average
C Waiswa,UGA,19.61,13.3,8.79,17.4,1.3,0.1,1,25.5,28.729,Good
BTJ Wheal,SCOT,31.07,21.8,8.53,20.229,0.929,0,0.929,28.857,44.171,Average
Aminul Islam,BAN,19.83,15.6,7.59,18.72,1.2,0,1.2,23.8,25.085,Good
Arafat Sunny,BAN,19.16,15.5,7.41,18.6,1.2,0,1.2,23,23.663,Good
Atif Mehmood,ESP,18.25,19,5.73,19.05,1,0,1,18.25,17.429,Good
G Bakiweyem,Ghana,22.33,18.8,7.11,18.7,1,0,1,22.333,26.461,Good
J Bulele,MOZ,15.5,14.1,6.56,18.8,1.333,0.111,1,20.667,16.947,Good
TS Chisoro,ZIM,30.66,26.5,6.94,22.714,0.857,0,0.857,26.286,35.463,Good
S Davizi,CZK-R,14.41,10.1,8.5,13.467,1.333,0.111,1,19.222,20.414,Good
C de Grandhomme,NZ,38.41,26.7,8.61,15.229,0.571,0,0.571,21.952,55.118,Average
GDR Eranga,CAN,17,15.9,6.4,21,1.333,0,1.333,22.667,18.133,Good
OD Hald,DEN,15.58,16.2,5.75,19.38,1.2,0,1.2,18.7,14.931,Good
JH Kallis,SA,27.75,23,7.23,14.526,0.632,0.053,0.444,17.526,33.439,Good
A Krishna,SGP,16.16,11.5,8.37,19.8,1.714,0.143,1.333,27.714,22.543,Good
LS Livingstone,ENG,19.58,16.5,7.12,16.5,1,0,1,19.583,23.235,Good
T Lungameni,NAM,24.75,21,7.07,16.8,0.8,0,0.8,19.8,29.164,Good
N Madziva,ZIM,34.75,23.4,8.9,18.6,0.8,0.067,0.571,27.8,51.546,Average
AD Mascarenhas,ENG,25.75,21,7.35,18,0.857,0,0.857,22.071,31.544,Good
SA Mohandas,HUN,25.33,18.5,8.21,20.182,1.091,0,1.091,27.636,34.66,Good
Muhammad Kashif,KUW,22.58,16,8.46,16,1,0,1,22.583,31.838,Good
J Mulder,IRE,16,14.5,6.62,21.75,1.5,0.125,1.143,24,17.653,Good
JD Nel,SCOT,14.08,15.5,5.45,20.667,1.333,0,1.333,18.778,12.789,Good
Sajid Liaqat,GER,16.41,11.8,8.32,23.4,2,0,2,32.833,22.755,Good
BDH Stevens,JER,20.75,20.1,6.17,17.229,0.857,0,0.857,17.786,21.338,Good
SO Tikolo,KENYA,14,14.1,5.92,16.92,1.2,0.1,0.889,16.8,13.813,Good
R Trumpelmann,NAM,28.08,25,6.71,20.04,0.8,0,0.8,22.467,31.403,Good
S Vijayakumar,SGP,17,14,7.28,18.667,1.333,0.111,1,22.667,20.627,Good
Vraj Patel,KENYA,9.91,14,4.25,21,1.5,0.125,1,14.875,7.02,Good
Zulfiqar Babar,PAK,15.41,13,7.11,22.286,1.714,0,1.714,26.429,18.261,Good
Aftab Alam,AFG,29.45,22.2,7.93,20.25,0.917,0,0.917,27,38.923,Good
Ali Masood,EST,10.36,9.9,6.27,18.1,1.833,0,1.833,19,10.826,Good
B Arora,MLT,51.09,37.9,8.08,17.325,0.458,0,0.458,23.417,68.801,Poor
Asif Bevinje,ROM,14.54,11.4,7.61,21,1.833,0.167,1.2,26.667,18.442,Good
N Dutta,CAN,23,21.2,6.48,21.273,1,0,1,23,24.84,Good
GC Galanis,GRC,11.45,8.8,7.79,16.1,1.833,0,1.833,21,14.866,Good
H Gori,CZK-R,19.81,19,6.22,19.091,1,0,1,19.818,20.536,Good
Hassan Mehmood,SWE,10.45,8.7,7.18,19.2,2.2,0.2,1.5,23,12.505,Good
Irfan Ahmed,HKG,17.27,14.7,7.03,20.25,1.375,0,1.375,23.75,20.235,Good
C Karunaratne,SL,46.63,35.9,7.79,17.087,0.478,0,0.478,22.304,60.541,Average
Kashif Daud,UAE,23.36,19.6,7.13,18,0.917,0.083,0.636,21.417,27.759,Good
RK Kiseto,TAN,17.45,16.3,6.4,22.5,1.375,0.125,1,24,18.613,Good
Lucky Ali,DEN,16.45,18.5,5.32,20.4,1.1,0,1.1,18.1,14.586,Good
KP Meiyappan,UAE,14.54,10.9,8,17.143,1.571,0.143,1.167,22.857,19.387,Good
NO Miller,WI,20.36,17.2,7.07,20.933,1.222,0,1.222,24.889,23.991,Good
TS Mills,ENG,30.81,22.7,8.13,20.7,0.917,0,0.917,28.25,41.748,Average
A Morris,Caym,13.9,15.8,5.27,21.75,1.375,0.125,1,19.125,12.209,Good
Muhamad Syahadat,MAL,11.54,11.4,6.04,15.75,1.375,0,1.375,15.875,11.617,Good
SN Netravalkar,USA,26.27,24.2,6.49,17.72,0.733,0,0.733,19.267,28.415,Good
SH Obed,VAN,17.27,15.2,6.78,18.667,1.222,0,1.222,21.111,19.515,Good
NM Odhiambo,KENYA,29,22.3,7.78,17.571,0.786,0,0.786,22.786,37.603,Good
TM Odoyo,KENYA,15.45,19.6,4.72,21.6,1.1,0,1.1,17,12.154,Good
AY Patel,NZ,10.72,14.1,4.53,22.286,1.571,0.143,1.167,16.857,8.094,Good
TK Patel,USA,13.27,12,6.63,22,1.833,0.167,1.4,24.333,14.663,Good
A Rangaswamy,BOT,12.9,12.9,6,17.55,1.375,0.125,1,17.75,12.9,Good
ACF Stokes,GUE,21.54,21.4,6.02,21.382,1,0,1,21.545,21.612,Good
MJ Swepson,AUS,15.72,12.5,7.52,19.714,1.571,0,1.571,24.714,19.702,Good
S Vashisht,ROM,19.72,21.9,5.4,20.05,0.917,0.083,0.636,18.083,17.748,Good
TC Vine,ESP,18.9,14.1,8,15.6,1.1,0.1,0.778,20.8,25.2,Good
Waheed Ahmed,UAE,23.36,20.1,6.94,15.857,0.786,0,0.786,18.357,27.02,Good
MH Yardy,ENG,27.18,25,6.5,21.231,0.846,0,0.846,23,29.445,Good
Abdul Majid,BHR,11.9,12.6,5.66,21,1.667,0.167,1.2,19.833,11.226,Good
CM Akachukwu,NGA,25.8,20.6,7.51,13.68,0.667,0,0.667,17.2,32.293,Good
Anwar Ali,PAK,36.7,26.5,8.3,17.64,0.667,0,0.667,24.467,50.768,Average
P Arrighi,Arg,8.4,11.4,4.42,22.8,2,0.2,1.25,16.8,6.188,Good
L Balaji,INDIA,12.1,9.6,7.56,19.2,2,0,2,24.2,15.246,Good
HK Bennett,NZ,33.1,21.5,9.23,19.364,0.909,0,0.909,30.091,50.919,Average
K Christie,HKG,29.2,23.4,7.48,21.273,0.909,0,0.909,26.545,36.403,Good
PC Connell,IRE,15.6,15.3,6.11,18.975,1.25,0,1.25,19.5,15.886,Good
JC Darji,TAN,6.9,10.1,4.09,19.8,2,0.4,0.667,13.8,4.704,Good
XJ Doherty,AUS,30,22.8,7.89,20.727,0.909,0,0.909,27.273,39.45,Good
B Fernando,SL,25.9,18.8,8.26,20.8,1.111,0,1.111,28.778,35.656,Good
MR Gillespie,NZ,25.5,21,7.28,21,1,0.1,0.667,25.5,30.94,Good
K Gore,USA,12.4,15,4.96,18.75,1.25,0,1.25,15.5,10.251,Good
PD Hennessy,ESP,11.8,10.2,6.94,14.571,1.429,0,1.429,16.857,13.649,Good
RM Hira,NZ,33.7,25.4,7.96,19.477,0.769,0,0.769,25.923,44.709,Average
IG Holland,USA,8.9,13.8,3.86,23,1.667,0,1.667,14.833,5.726,Good
JR Hopes,AUS,28.3,22.2,7.64,18.5,0.833,0,0.833,23.583,36.035,Good
J Hurley,Arg,14.4,15.6,5.53,22.286,1.429,0,1.429,20.571,13.272,Good
AF Ifill,Caym,24.4,21.4,6.84,19.309,0.909,0,0.909,22.182,27.816,Good
JF Mooney,IRE,17.6,15.6,6.76,15.6,1,0,1,17.6,19.829,Good
JK Mukhiya,NEPAL,16.8,15.6,6.46,15.6,1,0,1,16.8,18.088,Good
Murid Ekrami,Belg,22.7,23.4,5.82,16.714,0.714,0,0.714,16.214,22.019,Good
PP Ojha,INDIA,13.2,12.6,6.28,21,1.667,0.167,1.2,22,13.816,Good
LN Oluoch,KENYA,20.9,17.4,7.2,17.4,1,0,1,20.9,25.08,Good
H Osinde,CAN,25,21,7.14,19.091,0.909,0,0.909,22.727,29.75,Good
S Prasanna,SL,35.9,30,7.18,16.667,0.556,0,0.556,19.944,42.96,Average
LN Rajbanshi,NEPAL,23.1,23,6.02,19.1,0.833,0,0.833,19.25,23.177,Good
CAK Rajitha,SL,35.8,22.2,9.67,22.2,1,0,1,35.8,57.698,Average
SHA Rance,NZ,24.5,16.2,9.07,23.143,1.429,0,1.429,35,37.036,Good
Raza Hasan,PAK,21.9,22.8,5.76,22.8,1,0,1,21.9,21.024,Good
C Rubagumya,RWN,21.4,18.1,7.09,18.06,1,0,1,21.4,25.288,Good
Shiraz Khan,KUW,30.1,28.2,6.4,18.8,0.667,0,0.667,20.067,32.107,Good
GT Taylor,Bhm,18.1,16.8,6.46,18.667,1.111,0,1.111,20.111,19.488,Good
R Vinay Kumar,INDIA,24.7,18.9,7.84,20.867,1.111,0,1.111,27.444,32.275,Good
Waqar Ali,CYP,6.7,8.9,4.51,21.75,2.5,0.25,2,16.75,5.036,Good
S Wickramasekara,CZK-R,40.6,34.5,7.06,19.1,0.556,0,0.556,22.556,47.773,Average
M Abdulla,MWI,18.22,17.6,6.18,22.543,1.286,0,1.286,23.429,18.767,Good
RA Abolarin,NGA,16,18.4,5.2,16.44,0.9,0,0.9,14.4,13.867,Good
Aftab Kayani,ROM,12.88,12.6,6.1,16.286,1.286,0,1.286,16.571,13.095,Good
Asrar Ahmed,GRC,20,16,7.5,20.571,1.286,0,1.286,25.714,25,Good
Atif Kamal,LUX,24.66,22.6,6.52,20.4,0.9,0,0.9,22.2,26.797,Good
DE Bollinger,AUS,27.66,23.3,7.11,23.333,1,0,1,27.667,32.777,Good
TS Braat,NED,18,12,9,18,1.5,0,1.5,27,27,Good
L Bruce,GIBR,33.66,23.3,8.65,17.5,0.75,0.083,0.455,25.25,48.526,Average
LA Burns,ESP,6.55,8.6,4.53,19.5,2.25,0.25,1.333,14.75,4.945,Good
J Butler,IOM,11.33,10.6,6.37,19.2,1.8,0.2,1.25,20.4,12.029,Good
A Dhingra,LUX,15.33,13.3,6.9,24,1.8,0,1.8,27.6,17.63,Good
Fazalhaq Farooqi,AFG,14.88,16,5.58,24,1.5,0,1.5,22.333,13.838,Good
MGSM Fernando,ITA,13.44,16,5.04,24,1.5,0,1.5,20.167,11.29,Good
A Gbla,SLE,12.22,11.3,6.47,20.4,1.8,0.2,1,22,13.177,Good
BW Hilfenhaus,AUS,17.88,17.3,6.19,22.286,1.286,0,1.286,23,18.446,Good
J Jagroo,Bhm,25.11,22,6.84,18,0.818,0,0.818,20.545,28.625,Good
